Company,Date,Open,High,Low,Close,Adj Close,Volume
Apple Inc (AAPL),2015-01-02,111.389999,111.440002,107.349998,109.330002,103.074181,53204600
Apple Inc (AAPL),2015-01-05,108.290001,108.650002,105.410004,106.250000,100.170410,64285500
Apple Inc (AAPL),2015-01-06,106.540001,107.430000,104.629997,106.260002,100.179840,65797100
Apple Inc (AAPL),2015-01-07,107.199997,108.199997,106.699997,107.750000,101.584595,40105900
Apple Inc (AAPL),2015-01-08,109.230003,112.150002,108.699997,111.889999,105.487686,59364500
Apple Inc (AAPL),2015-01-09,112.669998,113.250000,110.209999,112.010002,105.600830,53699500
Apple Inc (AAPL),2015-01-12,112.599998,112.629997,108.800003,109.250000,102.998756,49650800
Apple Inc (AAPL),2015-01-13,111.430000,112.800003,108.910004,110.220001,103.913254,67091900
Apple Inc (AAPL),2015-01-14,109.040001,110.489998,108.500000,109.800003,103.517288,48337000
Apple Inc (AAPL),2015-01-15,110.000000,110.059998,106.660004,106.820000,100.707794,60014000
Apple Inc (AAPL),2015-01-16,107.029999,107.580002,105.199997,105.989998,99.925285,78513300
Apple Inc (AAPL),2015-01-20,107.839996,108.970001,106.500000,108.720001,102.499084,49899900
Apple Inc (AAPL),2015-01-21,108.949997,111.059998,108.269997,109.550003,103.281601,48575900
Apple Inc (AAPL),2015-01-22,110.260002,112.470001,109.720001,112.400002,105.968513,53796400
Apple Inc (AAPL),2015-01-23,112.300003,113.750000,111.529999,112.980003,106.515343,46464800
Apple Inc (AAPL),2015-01-26,113.739998,114.360001,112.800003,113.099998,106.628456,55615000
Apple Inc (AAPL),2015-01-27,112.419998,112.480003,109.029999,109.139999,102.895042,95568700
Apple Inc (AAPL),2015-01-28,117.629997,118.120003,115.309998,115.309998,108.712006,146477100
Apple Inc (AAPL),2015-01-29,116.320000,119.190002,115.559998,118.900002,112.096596,84436400
Apple Inc (AAPL),2015-01-30,118.400002,120.000000,116.849998,117.160004,110.456146,83745500
Apple Inc (AAPL),2015-02-02,118.050003,119.169998,116.080002,118.629997,111.842033,62739100
Apple Inc (AAPL),2015-02-03,118.500000,119.089996,117.610001,118.650002,111.860886,51915700
Apple Inc (AAPL),2015-02-04,118.500000,120.510002,118.309998,119.559998,112.718826,70149700
Apple Inc (AAPL),2015-02-05,120.019997,120.230003,119.250000,119.940002,113.523354,42246200
Apple Inc (AAPL),2015-02-06,120.019997,120.250000,118.449997,118.930000,112.567368,43706600
Apple Inc (AAPL),2015-02-09,118.550003,119.839996,118.430000,119.720001,113.315117,38889800
Apple Inc (AAPL),2015-02-10,120.169998,122.150002,120.160004,122.019997,115.492065,62008500
Apple Inc (AAPL),2015-02-11,122.769997,124.919998,122.500000,124.879997,118.199059,73561800
Apple Inc (AAPL),2015-02-12,126.059998,127.480003,125.570000,126.459999,119.694542,74474500
Apple Inc (AAPL),2015-02-13,127.279999,127.279999,125.650002,127.080002,120.281372,54272200
Apple Inc (AAPL),2015-02-17,127.489998,128.880005,126.919998,127.830002,120.991234,63152400
Apple Inc (AAPL),2015-02-18,127.629997,128.779999,127.449997,128.720001,121.833641,44891700
Apple Inc (AAPL),2015-02-19,128.479996,129.029999,128.330002,128.449997,121.578064,37362400
Apple Inc (AAPL),2015-02-20,128.619995,129.500000,128.050003,129.500000,122.571915,48948400
Apple Inc (AAPL),2015-02-23,130.020004,133.000000,129.660004,133.000000,125.884651,70974100
Apple Inc (AAPL),2015-02-24,132.940002,133.600006,131.169998,132.169998,125.099060,69228100
Apple Inc (AAPL),2015-02-25,131.559998,131.600006,128.149994,128.789993,121.899895,74711700
Apple Inc (AAPL),2015-02-26,128.789993,130.869995,126.610001,130.419998,123.442680,91287500
Apple Inc (AAPL),2015-02-27,130.000000,130.570007,128.240005,128.460007,121.587555,62014800
Apple Inc (AAPL),2015-03-02,129.250000,130.279999,128.300003,129.089996,122.183830,48096700
Apple Inc (AAPL),2015-03-03,128.960007,129.520004,128.089996,129.360001,122.439392,37816300
Apple Inc (AAPL),2015-03-04,129.100006,129.559998,128.320007,128.539993,121.663254,31666300
Apple Inc (AAPL),2015-03-05,128.580002,128.750000,125.760002,126.410004,119.647224,56517100
Apple Inc (AAPL),2015-03-06,128.399994,129.369995,126.260002,126.599998,119.827042,72842100
Apple Inc (AAPL),2015-03-09,127.959999,129.570007,125.059998,127.139999,120.338158,88528500
Apple Inc (AAPL),2015-03-10,126.410004,127.220001,123.800003,124.510002,117.848862,68856600
Apple Inc (AAPL),2015-03-11,124.750000,124.769997,122.110001,122.239998,115.700287,68939000
Apple Inc (AAPL),2015-03-12,122.309998,124.900002,121.629997,124.449997,117.792053,48362700
Apple Inc (AAPL),2015-03-13,124.400002,125.400002,122.580002,123.589996,116.978073,51827300
Apple Inc (AAPL),2015-03-16,123.879997,124.949997,122.870003,124.949997,118.265312,35874300
Apple Inc (AAPL),2015-03-17,125.900002,127.320000,125.650002,127.040001,120.243500,51023100
Apple Inc (AAPL),2015-03-18,127.000000,129.160004,126.370003,128.470001,121.597000,65270900
Apple Inc (AAPL),2015-03-19,128.750000,129.250000,127.400002,127.500000,120.678909,45809500
Apple Inc (AAPL),2015-03-20,128.250000,128.399994,125.160004,125.900002,119.164505,68695100
Apple Inc (AAPL),2015-03-23,127.120003,127.849998,126.519997,127.209999,120.404411,37709700
Apple Inc (AAPL),2015-03-24,127.230003,128.039993,126.559998,126.690002,119.912231,32842300
Apple Inc (AAPL),2015-03-25,126.540001,126.820000,123.379997,123.379997,116.779327,51655200
Apple Inc (AAPL),2015-03-26,122.760002,124.879997,122.599998,124.239998,117.593323,47572900
Apple Inc (AAPL),2015-03-27,124.570000,124.699997,122.910004,123.250000,116.656273,39546200
Apple Inc (AAPL),2015-03-30,124.050003,126.400002,124.000000,126.370003,119.609360,47099700
Apple Inc (AAPL),2015-03-31,126.089996,126.489998,124.360001,124.430000,117.773125,42090600
Apple Inc (AAPL),2015-04-01,124.820000,125.120003,123.099998,124.250000,117.602768,40621400
Apple Inc (AAPL),2015-04-02,125.029999,125.559998,124.190002,125.320000,118.615524,32220100
Apple Inc (AAPL),2015-04-06,124.470001,127.510002,124.330002,127.349998,120.536911,37194000
Apple Inc (AAPL),2015-04-07,127.639999,128.119995,125.980003,126.010002,119.268623,35012300
Apple Inc (AAPL),2015-04-08,125.849998,126.400002,124.970001,125.599998,118.880554,37329200
Apple Inc (AAPL),2015-04-09,125.849998,126.580002,124.660004,126.559998,119.789185,32484000
Apple Inc (AAPL),2015-04-10,125.949997,127.209999,125.260002,127.099998,120.300301,40188000
Apple Inc (AAPL),2015-04-13,128.369995,128.570007,126.610001,126.849998,120.063675,36365100
Apple Inc (AAPL),2015-04-14,127.000000,127.290001,125.910004,126.300003,119.543106,25524600
Apple Inc (AAPL),2015-04-15,126.410004,127.129997,126.010002,126.779999,119.997414,28970400
Apple Inc (AAPL),2015-04-16,126.279999,127.099998,126.110001,126.169998,119.420044,28369000
Apple Inc (AAPL),2015-04-17,125.550003,126.139999,124.459999,124.750000,118.076019,51957000
Apple Inc (AAPL),2015-04-20,125.570000,128.119995,125.169998,127.599998,120.773544,47054300
Apple Inc (AAPL),2015-04-21,128.100006,128.199997,126.669998,126.910004,120.120476,32435100
Apple Inc (AAPL),2015-04-22,126.989998,128.869995,126.320000,128.619995,121.738983,37654500
Apple Inc (AAPL),2015-04-23,128.300003,130.419998,128.139999,129.669998,122.732803,45770900
Apple Inc (AAPL),2015-04-24,130.490005,130.630005,129.229996,130.279999,123.310150,44525900
Apple Inc (AAPL),2015-04-27,132.309998,133.130005,131.149994,132.649994,125.553375,96954200
Apple Inc (AAPL),2015-04-28,134.460007,134.539993,129.570007,130.559998,123.575195,118924000
Apple Inc (AAPL),2015-04-29,130.160004,131.589996,128.300003,128.639999,121.757912,63386100
Apple Inc (AAPL),2015-04-30,128.639999,128.639999,124.580002,125.150002,118.454613,83195400
Apple Inc (AAPL),2015-05-01,126.099998,130.130005,125.300003,128.949997,122.051315,58512600
Apple Inc (AAPL),2015-05-04,129.500000,130.570007,128.259995,128.699997,121.814705,50988300
Apple Inc (AAPL),2015-05-05,128.149994,128.449997,125.779999,125.800003,119.069839,49271400
Apple Inc (AAPL),2015-05-06,126.559998,126.750000,123.360001,125.010002,118.322105,72141000
Apple Inc (AAPL),2015-05-07,124.769997,126.080002,124.019997,125.260002,119.053963,43940900
Apple Inc (AAPL),2015-05-08,126.680000,127.620003,126.110001,127.620003,121.297050,55550400
Apple Inc (AAPL),2015-05-11,127.389999,127.559998,125.629997,126.320000,120.061440,42035800
Apple Inc (AAPL),2015-05-12,125.599998,126.879997,124.820000,125.870003,119.633743,48160000
Apple Inc (AAPL),2015-05-13,126.150002,127.190002,125.870003,126.010002,119.766808,34694200
Apple Inc (AAPL),2015-05-14,127.410004,128.949997,127.160004,128.949997,122.561142,45203500
Apple Inc (AAPL),2015-05-15,129.070007,129.490005,128.210007,128.770004,122.390060,38208000
Apple Inc (AAPL),2015-05-18,128.380005,130.720001,128.360001,130.190002,123.739723,50882900
Apple Inc (AAPL),2015-05-19,130.690002,130.880005,129.639999,130.070007,123.625648,44633200
Apple Inc (AAPL),2015-05-20,130.000000,130.979996,129.339996,130.059998,123.616142,36454900
Apple Inc (AAPL),2015-05-21,130.070007,131.630005,129.830002,131.389999,124.880249,39730400
Apple Inc (AAPL),2015-05-22,131.600006,132.970001,131.399994,132.539993,125.973259,45596000
Apple Inc (AAPL),2015-05-26,132.600006,132.910004,129.119995,129.619995,123.197937,70697600
Apple Inc (AAPL),2015-05-27,130.339996,132.259995,130.050003,132.039993,125.498047,45833200
Apple Inc (AAPL),2015-05-28,131.860001,131.949997,131.100006,131.779999,125.250916,30733300
Apple Inc (AAPL),2015-05-29,131.229996,131.449997,129.899994,130.279999,123.825241,50884500
Apple Inc (AAPL),2015-06-01,130.279999,131.389999,130.050003,130.539993,124.072357,32112800
Apple Inc (AAPL),2015-06-02,129.860001,130.660004,129.320007,129.960007,123.521118,33667600
Apple Inc (AAPL),2015-06-03,130.660004,130.940002,129.899994,130.119995,123.673164,30889400
Apple Inc (AAPL),2015-06-04,129.580002,130.580002,128.910004,129.360001,122.950836,38450100
Apple Inc (AAPL),2015-06-05,129.500000,129.690002,128.360001,128.649994,122.276009,35626800
Apple Inc (AAPL),2015-06-08,128.899994,129.210007,126.830002,127.800003,121.468117,52674800
Apple Inc (AAPL),2015-06-09,126.699997,128.080002,125.620003,127.419998,121.106941,56075400
Apple Inc (AAPL),2015-06-10,127.919998,129.339996,127.849998,128.880005,122.494614,39087300
Apple Inc (AAPL),2015-06-11,129.179993,130.179993,128.479996,128.589996,122.218964,35390900
Apple Inc (AAPL),2015-06-12,128.190002,128.330002,127.110001,127.169998,120.869339,36886200
Apple Inc (AAPL),2015-06-15,126.099998,127.239998,125.709999,126.919998,120.631721,43988900
Apple Inc (AAPL),2015-06-16,127.029999,127.849998,126.370003,127.599998,121.278023,31494100
Apple Inc (AAPL),2015-06-17,127.720001,127.879997,126.739998,127.300003,120.992889,32918100
Apple Inc (AAPL),2015-06-18,127.230003,128.309998,127.220001,127.879997,121.544136,35407200
Apple Inc (AAPL),2015-06-19,127.709999,127.820000,126.400002,126.599998,120.327568,54716900
Apple Inc (AAPL),2015-06-22,127.489998,128.059998,127.080002,127.610001,121.287529,34039300
Apple Inc (AAPL),2015-06-23,127.480003,127.610001,126.879997,127.029999,120.736267,30268900
Apple Inc (AAPL),2015-06-24,127.209999,129.800003,127.120003,128.110001,121.762756,55280900
Apple Inc (AAPL),2015-06-25,128.860001,129.199997,127.500000,127.500000,121.182976,31938100
Apple Inc (AAPL),2015-06-26,127.669998,127.989998,126.510002,126.750000,120.470139,44066800
Apple Inc (AAPL),2015-06-29,125.459999,126.470001,124.480003,124.529999,118.360123,49161400
Apple Inc (AAPL),2015-06-30,125.570000,126.120003,124.860001,125.430000,119.215538,44370700
Apple Inc (AAPL),2015-07-01,126.900002,126.940002,125.989998,126.599998,120.327568,30238800
Apple Inc (AAPL),2015-07-02,126.430000,126.690002,125.769997,126.440002,120.175491,27211000
Apple Inc (AAPL),2015-07-06,124.940002,126.230003,124.849998,126.000000,119.757301,28060400
Apple Inc (AAPL),2015-07-07,125.889999,126.150002,123.769997,125.690002,119.462662,46946800
Apple Inc (AAPL),2015-07-08,124.480003,124.639999,122.540001,122.570000,116.497238,60761600
Apple Inc (AAPL),2015-07-09,123.849998,124.059998,119.220001,120.070000,114.121101,77821600
Apple Inc (AAPL),2015-07-10,121.940002,123.849998,121.209999,123.279999,117.172066,61354500
Apple Inc (AAPL),2015-07-13,125.029999,125.760002,124.320000,125.660004,119.434151,41440500
Apple Inc (AAPL),2015-07-14,126.040001,126.370003,125.040001,125.610001,119.386612,31768100
Apple Inc (AAPL),2015-07-15,125.720001,127.150002,125.580002,126.820000,120.536674,33649200
Apple Inc (AAPL),2015-07-16,127.739998,128.570007,127.349998,128.509995,122.142944,36222400
Apple Inc (AAPL),2015-07-17,129.080002,129.619995,128.309998,129.619995,123.197937,46164700
Apple Inc (AAPL),2015-07-20,130.970001,132.970001,130.699997,132.070007,125.526581,58900200
Apple Inc (AAPL),2015-07-21,132.850006,132.919998,130.320007,130.750000,124.271957,76756400
Apple Inc (AAPL),2015-07-22,121.989998,125.500000,121.989998,125.220001,119.015938,115450600
Apple Inc (AAPL),2015-07-23,126.199997,127.089996,125.059998,125.160004,118.958908,50999500
Apple Inc (AAPL),2015-07-24,125.320000,125.739998,123.900002,124.500000,118.331619,42162300
Apple Inc (AAPL),2015-07-27,123.089996,123.610001,122.120003,122.769997,116.687325,44455500
Apple Inc (AAPL),2015-07-28,123.379997,123.910004,122.550003,123.379997,117.267113,33618100
Apple Inc (AAPL),2015-07-29,123.150002,123.500000,122.269997,122.989998,116.896423,37011700
Apple Inc (AAPL),2015-07-30,122.320000,122.570000,121.709999,122.370003,116.307152,33628300
Apple Inc (AAPL),2015-07-31,122.599998,122.639999,120.910004,121.300003,115.290154,42885000
Apple Inc (AAPL),2015-08-03,121.500000,122.570000,117.519997,118.440002,112.571854,69976000
Apple Inc (AAPL),2015-08-04,117.419998,117.699997,113.250000,114.639999,108.960129,124138600
Apple Inc (AAPL),2015-08-05,112.949997,117.440002,112.099998,115.400002,109.682480,99312600
Apple Inc (AAPL),2015-08-06,115.970001,116.500000,114.120003,115.129997,109.921165,52903000
Apple Inc (AAPL),2015-08-07,114.580002,116.250000,114.500000,115.519997,110.293533,38670400
Apple Inc (AAPL),2015-08-10,116.529999,119.989998,116.529999,119.720001,114.303505,54951600
Apple Inc (AAPL),2015-08-11,117.809998,118.180000,113.330002,113.489998,108.355354,97082800
Apple Inc (AAPL),2015-08-12,112.529999,115.419998,109.629997,115.239998,110.026184,101217500
Apple Inc (AAPL),2015-08-13,116.040001,116.400002,114.540001,115.150002,109.940262,48535800
Apple Inc (AAPL),2015-08-14,114.320000,116.309998,114.010002,115.959999,110.713608,42929500
Apple Inc (AAPL),2015-08-17,116.040001,117.650002,115.500000,117.160004,111.859337,40884700
Apple Inc (AAPL),2015-08-18,116.430000,117.440002,116.010002,116.500000,111.229172,34560700
Apple Inc (AAPL),2015-08-19,116.099998,116.519997,114.680000,115.010002,109.806602,47445700
Apple Inc (AAPL),2015-08-20,114.080002,114.349998,111.629997,112.650002,107.553375,68501600
Apple Inc (AAPL),2015-08-21,110.430000,111.900002,105.650002,105.760002,100.975098,128275500
Apple Inc (AAPL),2015-08-24,94.870003,108.800003,92.000000,103.120003,98.454544,162206300
